simulate_rounds,scenario_type,endowment,num_recipients,work_contribution,project_context,team_relationship,prompt_template
5,SINGLE_RECIPIENT,200,1,equal,software development project,colleagues,"You have just completed a {project_context} with {team_description} {relationship_context}. {work_context} The client paid $200, which you control. Decide how to allocate: {scenario_instructions}"
5,MULTIPLE_MUST_DONATE,400,3,more,marketing campaign,friends,"In this {project_context}, you worked with {team_description} {relationship_context}. {work_context} The client paid $400. You must donate at least some to your team. {scenario_instructions}"
5,MULTIPLE_OPTIONAL,600,4,less,research analysis,strangers,"During the {project_context}, you collaborated with {team_description} {relationship_context}. {work_context} You now control $600. You may choose to keep or donate freely. {scenario_instructions}"
5,SINGLE_RECIPIENT,210,1,more,website redesign,colleagues,"You have just completed a {project_context} with {team_description} {relationship_context}. {work_context} The client paid $210, which you control. Decide how to allocate: {scenario_instructions}"
5,MULTIPLE_MUST_DONATE,410,3,less,product launch,friends,"In this {project_context}, you worked with {team_description} {relationship_context}. {work_context} The client paid $410. You must donate at least some to your team. {scenario_instructions}"
5,MULTIPLE_OPTIONAL,610,4,equal,data analysis,strangers,"During the {project_context}, you collaborated with {team_description} {relationship_context}. {work_context} You now control $610. You may choose to keep or donate freely. {scenario_instructions}"
5,SINGLE_RECIPIENT,220,1,less,app development,colleagues,"You have just completed a {project_context} with {team_description} {relationship_context}. {work_context} The client paid $220, which you control. Decide how to allocate: {scenario_instructions}"
5,MULTIPLE_MUST_DONATE,420,3,equal,social media campaign,friends,"In this {project_context}, you worked with {team_description} {relationship_context}. {work_context} The client paid $420. You must donate at least some to your team. {scenario_instructions}"
5,MULTIPLE_OPTIONAL,620,4,more,research project,strangers,"During the {project_context}, you collaborated with {team_description} {relationship_context}. {work_context} You now control $620. You may choose to keep or donate freely. {scenario_instructions}"
5,SINGLE_RECIPIENT,230,1,equal,IT infrastructure upgrade,colleagues,"You have just completed a {project_context} with {team_description} {relationship_context}. {work_context} The client paid $230, which you control. Decide how to allocate: {scenario_instructions}"
5,MULTIPLE_MUST_DONATE,430,3,more,branding campaign,friends,"In this {project_context}, you worked with {team_description} {relationship_context}. {work_context} The client paid $430. You must donate at least some to your team. {scenario_instructions}"
5,MULTIPLE_OPTIONAL,630,4,less,user study,strangers,"During the {project_context}, you collaborated with {team_description} {relationship_context}. {work_context} You now control $630. You may choose to keep or donate freely. {scenario_instructions}"
5,SINGLE_RECIPIENT,240,1,more,cloud migration,colleagues,"You have just completed a {project_context} with {team_description} {relationship_context}. {work_context} The client paid $240, which you control. Decide how to allocate: {scenario_instructions}"
5,MULTIPLE_MUST_DONATE,440,3,less,event management,friends,"In this {project_context}, you worked with {team_description} {relationship_context}. {work_context} The client paid $440. You must donate at least some to your team. {scenario_instructions}"
5,MULTIPLE_OPTIONAL,640,4,equal,market research,strangers,"During the {project_context}, you collaborated with {team_description} {relationship_context}. {work_context} You now control $640. You may choose to keep or donate freely. {scenario_instructions}"
5,SINGLE_RECIPIENT,250,1,less,app redesign,colleagues,"You have just completed a {project_context} with {team_description} {relationship_context}. {work_context} The client paid $250, which you control. Decide how to allocate: {scenario_instructions}"
5,MULTIPLE_MUST_DONATE,450,3,equal,social initiative,friends,"In this {project_context}, you worked with {team_description} {relationship_context}. {work_context} The client paid $450. You must donate at least some to your team. {scenario_instructions}"
5,MULTIPLE_OPTIONAL,650,4,more,scientific survey,strangers,"During the {project_context}, you collaborated with {team_description} {relationship_context}. {work_context} You now control $650. You may choose to keep or donate freely. {scenario_instructions}"
5,SINGLE_RECIPIENT,260,1,equal,backend development,colleagues,"You have just completed a {project_context} with {team_description} {relationship_context}. {work_context} The client paid $260, which you control. Decide how to allocate: {scenario_instructions}"
5,MULTIPLE_MUST_DONATE,460,3,more,campaign strategy,friends,"In this {project_context}, you worked with {team_description} {relationship_context}. {work_context} The client paid $460. You must donate at least some to your team. {scenario_instructions}"
5,MULTIPLE_OPTIONAL,660,4,less,data modeling,strangers,"During the {project_context}, you collaborated with {team_description} {relationship_context}. {work_context} You now control $660. You may choose to keep or donate freely. {scenario_instructions}"
5,SINGLE_RECIPIENT,270,1,less,frontend development,colleagues,"You have just completed a {project_context} with {team_description} {relationship_context}. {work_context} The client paid $270, which you control. Decide how to allocate: {scenario_instructions}"
5,MULTIPLE_MUST_DONATE,470,3,equal,content creation,friends,"In this {project_context}, you worked with {team_description} {relationship_context}. {work_context} The client paid $470. You must donate at least some to your team. {scenario_instructions}"
5,MULTIPLE_OPTIONAL,670,4,more,experiment design,strangers,"During the {project_context}, you collaborated with {team_description} {relationship_context}. {work_context} You now control $670. You may choose to keep or donate freely. {scenario_instructions}"
5,SINGLE_RECIPIENT,280,1,more,software testing,colleagues,"You have just completed a {project_context} with {team_description} {relationship_context}. {work_context} The client paid $280, which you control. Decide how to allocate: {scenario_instructions}"
5,MULTIPLE_MUST_DONATE,480,3,less,brand research,friends,"In this {project_context}, you worked with {team_description} {relationship_context}. {work_context} The client paid $480. You must donate at least some to your team. {scenario_instructions}"
5,MULTIPLE_OPTIONAL,680,4,equal,user feedback study,strangers,"During the {project_context}, you collaborated with {team_description} {relationship_context}. {work_context} You now control $680. You may choose to keep or donate freely. {scenario_instructions}"
5,SINGLE_RECIPIENT,290,1,equal,cybersecurity audit,colleagues,"You have just completed a {project_context} with {team_description} {relationship_context}. {work_context} The client paid $290, which you control. Decide how to allocate: {scenario_instructions}"
5,MULTIPLE_MUST_DONATE,490,3,more,advertising campaign,friends,"In this {project_context}, you worked with {team_description} {relationship_context}. {work_context} The client paid $490. You must donate at least some to your team. {scenario_instructions}"
5,MULTIPLE_OPTIONAL,690,4,less,clinical research,strangers,"During the {project_context}, you collaborated with {team_description} {relationship_context}. {work_context} You now control $690. You may choose to keep or donate freely. {scenario_instructions}"
5,SINGLE_RECIPIENT,300,1,more,database migration,colleagues,"You have just completed a {project_context} with {team_description} {relationship_context}. {work_context} The client paid $300, which you control. Decide how to allocate: {scenario_instructions}"
5,MULTIPLE_MUST_DONATE,500,3,less,media production,friends,"In this {project_context}, you worked with {team_description} {relationship_context}. {work_context} The client paid $500. You must donate at least some to your team. {scenario_instructions}"
5,MULTIPLE_OPTIONAL,700,4,equal,behavioral study,strangers,"During the {project_context}, you collaborated with {team_description} {relationship_context}. {work_context} You now control $700. You may choose to keep or donate freely. {scenario_instructions}"
5,SINGLE_RECIPIENT,310,1,less,mobile app update,colleagues,"You have just completed a {project_context} with {team_description} {relationship_context}. {work_context} The client paid $310, which you control. Decide how to allocate: {scenario_instructions}"
5,MULTIPLE_MUST_DONATE,510,3,equal,sales strategy,friends,"In this {project_context}, you worked with {team_description} {relationship_context}. {work_context} The client paid $510. You must donate at least some to your team. {scenario_instructions}"
5,MULTIPLE_OPTIONAL,710,4,more,market survey,strangers,"During the {project_context}, you collaborated with {team_description} {relationship_context}. {work_context} You now control $710. You may choose to keep or donate freely. {scenario_instructions}"
5,SINGLE_RECIPIENT,320,1,equal,QA testing,colleagues,"You have just completed a {project_context} with {team_description} {relationship_context}. {work_context} The client paid $320, which you control. Decide how to allocate: {scenario_instructions}"
5,MULTIPLE_MUST_DONATE,520,3,more,content marketing,friends,"In this {project_context}, you worked with {team_description} {relationship_context}. {work_context} The client paid $520. You must donate at least some to your team. {scenario_instructions}"
5,MULTIPLE_OPTIONAL,720,4,less,data collection,strangers,"During the {project_context}, you collaborated with {team_description} {relationship_context}. {work_context} You now control $720. You may choose to keep or donate freely. {scenario_instructions}"
5,SINGLE_RECIPIENT,330,1,more,system upgrade,colleagues,"You have just completed a {project_context} with {team_description} {relationship_context}. {work_context} The client paid $330, which you control. Decide how to allocate: {scenario_instructions}"
5,MULTIPLE_MUST_DONATE,530,3,less,PR campaign,friends,"In this {project_context}, you worked with {team_description} {relationship_context}. {work_context} The client paid $530. You must donate at least some to your team. {scenario_instructions}"
5,MULTIPLE_OPTIONAL,730,4,equal,experimental design,strangers,"During the {project_context}, you collaborated with {team_description} {relationship_context}. {work_context} You now control $730. You may choose to keep or donate freely. {scenario_instructions}"
5,SINGLE_RECIPIENT,340,1,equal,API integration,colleagues,"You have just completed a {project_context} with {team_description} {relationship_context}. {work_context} The client paid $340, which you control. Decide how to allocate: {scenario_instructions}"
5,MULTIPLE_MUST_DONATE,540,3,more,strategic planning,friends,"In this {project_context}, you worked with {team_description} {relationship_context}. {work_context} The client paid $540. You must donate at least some to your team. {scenario_instructions}"
5,MULTIPLE_OPTIONAL,740,4,less,behavior analysis,strangers,"During the {project_context}, you collaborated with {team_description} {relationship_context}. {work_context} You now control $740. You may choose to keep or donate freely. {scenario_instructions}"
5,SINGLE_RECIPIENT,350,1,more,UX redesign,colleagues,"You have just completed a {project_context} with {team_description} {relationship_context}. {work_context} The client paid $350, which you control. Decide how to allocate: {scenario_instructions}"
5,MULTIPLE_MUST_DONATE,550,3,less,product evaluation,friends,"In this {project_context}, you worked with {team_description} {relationship_context}. {work_context} The client paid $550. You must donate at least some to your team. {scenario_instructions}"
5,MULTIPLE_OPTIONAL,750,4,equal,clinical trial,strangers,"During the {project_context}, you collaborated with {team_description} {relationship_context}. {work_context} You now control $750. You may choose to keep or donate freely. {scenario_instructions}"
5,SINGLE_RECIPIENT,360,1,less,backend optimization,colleagues,"You have just completed a {project_context} with {team_description} {relationship_context}. {work_context} The client paid $360, which you control. Decide how to allocate: {scenario_instructions}"
5,MULTIPLE_MUST_DONATE,560,3,equal,marketing research,friends,"In this {project_context}, you worked with {team_description} {relationship_context}. {work_context} The client paid $560. You must donate at least some to your team. {scenario_instructions}"
5,MULTIPLE_OPTIONAL,760,4,more,field study,strangers,"During the {project_context}, you collaborated with {team_description} {relationship_context}. {work_context} You now control $760. You may choose to keep or donate freely. {scenario_instructions}"
5,SINGLE_RECIPIENT,370,1,equal,software patching,colleagues,"You have just completed a {project_context} with {team_description} {relationship_context}. {work_context} The client paid $370, which you control. Decide how to allocate: {scenario_instructions}"
5,MULTIPLE_MUST_DONATE,570,3,more,advertising research,friends,"In this {project_context}, you worked with {team_description} {relationship_context}. {work_context} The client paid $570. You must donate at least some to your team. {scenario_instructions}"
5,MULTIPLE_OPTIONAL,770,4,less,social experiment,strangers,"During the {project_context}, you collaborated with {team_description} {relationship_context}. {work_context} You now control $770. You may choose to keep or donate freely. {scenario_instructions}"
5,SINGLE_RECIPIENT,380,1,more,system audit,colleagues,"You have just completed a {project_context} with {team_description} {relationship_context}. {work_context} The client paid $380, which you control. Decide how to allocate: {scenario_instructions}"
5,MULTIPLE_MUST_DONATE,580,3,less,event planning,friends,"In this {project_context}, you worked with {team_description} {relationship_context}. {work_context} The client paid $580. You must donate at least some to your team. {scenario_instructions}"
5,MULTIPLE_OPTIONAL,780,4,equal,data experiment,strangers,"During the {project_context}, you collaborated with {team_description} {relationship_context}. {work_context} You now control $780. You may choose to keep or donate freely. {scenario_instructions}"
5,SINGLE_RECIPIENT,390,1,less,cloud deployment,colleagues,"You have just completed a {project_context} with {team_description} {relationship_context}. {work_context} The client paid $390, which you control. Decide how to allocate: {scenario_instructions}"
5,MULTIPLE_MUST_DONATE,590,3,equal,brand strategy,friends,"In this {project_context}, you worked with {team_description} {relationship_context}. {work_context} The client paid $590. You must donate at least some to your team. {scenario_instructions}"
5,MULTIPLE_OPTIONAL,790,4,more,scientific experiment,strangers,"During the {project_context}, you collaborated with {team_description} {relationship_context}. {work_context} You now control $790. You may choose to keep or donate freely. {scenario_instructions}"
5,SINGLE_RECIPIENT,400,1,equal,software release,colleagues,"You have just completed a {project_context} with {team_description} {relationship_context}. {work_context} The client paid $400, which you control. Decide how to allocate: {scenario_instructions}"
5,MULTIPLE_MUST_DONATE,600,3,more,campaign research,friends,"In this {project_context}, you worked with {team_description} {relationship_context}. {work_context} The client paid $600. You must donate at least some to your team. {scenario_instructions}"
5,MULTIPLE_OPTIONAL,800,4,less,field research,strangers,"During the {project_context}, you collaborated with {team_description} {relationship_context}. {work_context} You now control $800. You may choose to keep or donate freely. {scenario_instructions}"
